
['22-Jun-16', 'Independence Day: Resurgence', '165000000', '103144286', '384169424\n'], The profit from this movie is: $322313710 

['29-Jul-11', 'Cowboys and Aliens', '163000000', '100368560', '176038324\n'], The profit from this movie is: $113406884 

['16-Mar-17', 'Beauty and the Beast', '160000000', '504014165', '1268697483\n'], The profit from this movie is: $1612711648 

['27-Jun-19', 'Spider-Man: Far From Home', '160000000', '390532085', '1132107522\n'], The profit from this movie is: $1362639607 

['6-Dec-18', 'Aquaman', '160000000', '335061807', '1143758700\n'], The profit from this movie is: $1318820507 

['17-May-07', 'Shrek the Third', '160000000', '322719944', '807330936\n'], The profit from this movie is: $970050880 

['16-Jul-10', 'Inception', '160000000', '292576195', '825793570\n'], The profit from this movie is: $958369765 

['18-Nov-15', 'The Hunger Games: Mockingjay - Part 2', '160000000', '281723902', '645890283\n'], The profit from this movie is: $767614185 

['17-May-13', 'Fast and Furious 6', '160000000', '238679850', '789300444\n'], The profit from this movie is: $867980294 

['14-May-14', 'Godzilla', '160000000', '200676069', '529076069\n'], The profit from this movie is: $569752138 

['3-Jun-11', 'X-Men: First Class', '160000000', '146408305', '355408305\n'], The profit from this movie is: $341816610 

['25-Dec-08', 'The Curious Case of Benjamin Button', '160000000', '127509326', '329631958\n'], The profit from this movie is: $297141284 

['14-Jul-10', "The Sorcerer's Apprentice", '160000000', '63150991', '217986320\n'], The profit from this movie is: $121137311 

['12-May-06', 'Poseidon', '160000000', '60674817', '181674817\n'], The profit from this movie is: $82349634 

['25-May-16', 'Warcraft', '160000000', '47365290', '438899824\n'], The profit from this movie is: $326265114 

['1-Nov-19', 'The Irishman', '159000000', '0', '914706\n'], The profit from this movie is: $-158085294 

['26-Jul-23', 'Haunted Mansion', '157750000', '67653287', '114813700\n'], The profit from this movie is: $24716987 

['29-Sep-16', 'Deepwater Horizon', '156000000', '61433527', '122359309\n'], The profit from this movie is: $27792836 

['10-Dec-10', 'The Chronicles of Narnia: The Voyage of the Daw…', '155000000', '104386950', '418186950\n'], The profit from this movie is: $367573900 

['25-Mar-21', 'Godzilla vs. Kong', '155000000', '100916094', '468043852\n'], The profit from this movie is: $413959946 

['24-Jun-15', 'Terminator: Genisys', '155000000', '89760956', '432150894\n'], The profit from this movie is: $366911850 

['16-Mar-18', 'Pacific Rim: Uprising', '155000000', '59874525', '290930148\n'], The profit from this movie is: $195804673 

['24-Nov-04', 'Alexander', '155000000', '34297191', '167297191\n'], The profit from this movie is: $46594382 

['14-Jul-17', 'War for the Planet of the Apes', '152000000', '146880162', '489592267\n'], The profit from this movie is: $484472429 

['25-May-01', 'Pearl Harbor', '151500000', '198539855', '449239853\n'], The profit from this movie is: $496279708 

['19-Jul-23', 'Barbie', '151000000', '636048475', '1441271205\n'], The profit from this movie is: $1926319680 

['28-Jun-07', 'Transformers', '151000000', '319246193', '708272592\n'], The profit from this movie is: $876518785 

['20-Nov-19', 'Frozen II', '150000000', '477373578', '1453683476\n'], The profit from this movie is: $1781057054 

['29-May-17', 'Wonder Woman', '150000000', '412563408', '817691766\n'], The profit from this movie is: $1080255174 

['22-Nov-13', 'Frozen', '150000000', '400953009', '1277921175\n'], The profit from this movie is: $1528874184 

['10-Feb-16', 'Zootopia', '150000000', '341268248', '1002462578\n'], The profit from this movie is: $1193730826 

['11-Jul-07', 'Harry Potter and the Order of the Phoenix', '150000000', '292137260', '939619849\n'], The profit from this movie is: $1081757109 

['18-Nov-05', 'Harry Potter and the Goblet of Fire', '150000000', '290201752', '886742787\n'], The profit from this movie is: $1026944539 

['15-May-03', 'The Matrix Reloaded', '150000000', '281553689', '738576929\n'], The profit from this movie is: $870130618 

['14-Dec-07', 'I am Legend', '150000000', '256393010', '585532684\n'], The profit from this movie is: $691925694 

['27-Jan-16', 'Moana', '150000000', '248757044', '629645455\n'], The profit from this movie is: $728402499 

['1-Jul-08', 'Hancock', '150000000', '227946274', '624234272\n'], The profit from this movie is: $702180546 

['1-Sep-21', 'Shang-Chi and the Legend of the Ten Rings', '150000000', '224543292', '432224634\n'], The profit from this movie is: $506767926 

['15-Jul-05', 'Charlie and the Chocolate Factory', '150000000', '206459076', '475825484\n'], The profit from this movie is: $532284560 

['29-Jun-07', 'Ratatouille', '150000000', '206445654', '626549695\n'], The profit from this movie is: $682995349 

['30-Oct-13', 'Thor: The Dark World', '150000000', '206362140', '644602516\n'], The profit from this movie is: $700964656 

['15-Jun-05', 'Batman Begins', '150000000', '205343774', '356770593\n'], The profit from this movie is: $412114367 

['29-Jul-15', 'Mission: Impossible—Rogue Nation', '150000000', '195042377', '688858992\n'], The profit from this movie is: $733901369 

['18-Jul-17', 'Dunkirk', '150000000', '190068280', '512390011\n'], The profit from this movie is: $552458291 

['29-Apr-11', 'Thor', '150000000', '181030624', '449326618\n'], The profit from this movie is: $480357242 

['7-Nov-08', 'Madagascar: Escape 2 Africa', '150000000', '180174880', '599680774\n'], The profit from this movie is: $629855654 

